sim_id,true_gcomp_e0,true_gcomp_se,true_ipw_e0,true_ipw_se,true_aipw_e0,true_aipw_se,true_tmle_e0,true_tmle_se,true_scaipw_e0,true_scaipw_se,true_sctmle_e0,true_sctmle_se,main_gcomp_e0,main_gcomp_se,main_ipw_e0,main_ipw_se,main_aipw_e0,main_aipw_se,main_tmle_e0,main_tmle_se,main_scaipw_e0,main_scaipw_se,main_sctmle_e0,main_sctmle_se,ml_gcomp_e0,ml_gcomp_se,ml_ipw_e0,ml_ipw_se,ml_aipw_e0,ml_aipw_se,ml_tmle_e0,ml_tmle_se,ml_scaipw_e0,ml_scaipw_se,ml_sctmle_e0,ml_sctmle_se
501,0.3308569280568161,,0.3218918608231533,0.0147081341836835,0.3259241519000819,0.0157779774263677,0.3257986523496808,0.0152673840621086,0.3470810259782809,0.0267860453453586,0.3173690322402391,0.0133200459051512,0.3400568252042051,,0.3375125467285657,0.0149238016410843,0.3434564121226234,0.0120312593135836,0.3428047631863342,0.0119478679854277,0.3205307762764381,0.0264106302272324,0.3254157071756246,0.0243542950192327,0.3161464181136929,,0.3186066226759968,0.01257680713374,0.3278240028045681,0.0110014045744141,0.3317347262475494,0.0109081703343107,0.3392589336269523,0.0171555564491084,0.3225622213991644,0.0115804721268769
502,0.3381923735124904,,0.3313478821477514,0.0148171165077411,0.338763443152569,0.0102401351732739,0.3387519054775696,0.0102437408276129,0.3315381418374552,0.0142967310755027,0.3331245344671673,0.0151831730573618,0.3397532351103562,,0.3354044507779517,0.0141393267949238,0.3407514327440569,0.0123960072281872,0.3406241608696106,0.0123946323682693,0.3388610444482678,0.0172541451221798,0.3342199595228369,0.0147334986855889,0.3207254768758197,,0.3311047145205854,0.0150398227990977,0.3357088282510458,0.0106340106240077,0.3396273825773255,0.0099498134309745,0.3376506044298543,0.0119351292935703,0.3399347615277011,0.0114598970275746
503,0.3436965866346413,,0.32587266606146,0.0122417898062526,0.3429669170316144,0.0104148330449236,0.3429058820116522,0.0104095483185585,0.3491676067819436,0.0110373127201923,0.345782062046968,0.0109736894679347,0.3463000197279154,,0.3336508776818133,0.0123311444298661,0.3462470651934782,0.0106340139696729,0.3462475427048744,0.0106340230176468,0.3538301461666672,0.012266452998005,0.354842554275286,0.0121982558405935,0.3267022944010905,,0.3281444798479431,0.0130438190062433,0.3369815926486766,0.0100876793860872,0.3430237001514062,0.0100481652778009,0.3405374855200068,0.0109397354965217,0.3415108381086332,0.0106158080263737
504,0.3562744394442984,,0.3498029377196997,0.0152658383425026,0.3568894142074403,0.0116628031482238,0.356914306491805,0.0116670840482114,0.3737078230354551,0.0291551808621861,0.3435804805003545,0.0161194260687102,0.358687296676645,,0.3491903010214945,0.0175838459262437,0.3610770819846209,0.0166731128668603,0.3599603385711934,0.0166729201799362,0.3861568430611193,0.0403683936792754,0.333907095216414,0.025673011023835,0.3368522305931359,,0.3467522479001497,0.0134587066504235,0.3516608452197806,0.0109738787842195,0.3546433115686526,0.0108238034960002,0.3649376598560162,0.0218927645198385,0.3463003733591063,0.0121297275499128
505,0.3475164144032395,,0.3375730107747414,0.0155559129057561,0.3445033439718422,0.0099548279887761,0.3436464648851345,0.009971950816846,0.3412449563710111,0.0124105539147376,0.3376425630933152,0.0129212068095339,0.3585706826725915,,0.3501250834986621,0.0142734020208565,0.3605835706921804,0.0117434266119806,0.3602097983693563,0.011727963931991,0.2374980568963695,0.0631210048904243,0.3462037551548452,0.0458756888282287,0.3307557026916713,,0.3395463913785181,0.015179110045921,0.3423454777470375,0.0099780314517374,0.3494888177995683,0.009792429865916,0.3403201624117253,0.0142724101689928,0.3423666507411633,0.0135043203149758
506,0.3390854923880209,,0.3413053964370617,0.0166433622128515,0.3447131324614143,0.0124205272653617,0.3433386701453031,0.0120765097618029,0.354708668909777,0.0162141776856457,0.3427177100610371,0.0112219188867457,0.3385203168400423,,0.3256616213672906,0.0125952588059649,0.3377736073976901,0.011179456167712,0.3378288432101164,0.0111781511355559,0.3601856032337033,0.0230820171552176,0.3356533575415764,0.0159246260917039,0.3130491238660677,,0.3321950899916503,0.0143070354647622,0.3343754504820164,0.0112886314031718,0.3352623699151114,0.0108021582191584,0.3299311386017369,0.0121829620184384,0.3303329573315752,0.0108838088273788
507,0.3414856635172906,,0.3407318881760175,0.0202706829655499,0.3403538597636995,0.0101477728361036,0.3403654096717261,0.0101803634801115,0.3739723019753399,0.0300472272666717,0.3380426431993256,0.0122032979601567,0.3542216060170326,,0.3397039483967599,0.0139494818474099,0.3553805331622749,0.0113743379704626,0.3552463220990051,0.0113645732125337,0.3620942255150518,0.0352665760558168,0.3451577962171067,0.0347525346513132,0.3230381595953029,,0.3388088705893503,0.0166404485765546,0.3387062959678302,0.0109191542654376,0.3417864007502799,0.0102277855079341,0.3353254279620126,0.0128264502617851,0.3331935348758849,0.0111801053155988
509,0.3505831047443241,,0.3444944568839827,0.0151069702770349,0.3558537896914572,0.0102152908407624,0.3572595093904311,0.010153016688074,0.3476316229450469,0.0149442848270127,0.3356070716353369,0.0138439200702545,0.3583550829572181,,0.3460834142170053,0.0132160887846058,0.3598036805640002,0.0104667236375443,0.3598087283711535,0.0104627936842061,0.3340415546245502,0.0155581638975786,0.3305235587885705,0.0155647141740766,0.3361481102344543,,0.3331365228313351,0.0123010168140502,0.3476564416307415,0.0099100400020652,0.3555680407922867,0.0098383613547537,0.3473984936644022,0.0112910232872193,0.3415939923734138,0.0111564359644049
510,0.3155062929783327,,0.3113120984808221,0.0137788956570144,0.3076359390370312,0.0145220896559935,0.3083183262480926,0.0135954380548284,0.3154405139457111,0.0156762239913495,0.3153950814163514,0.0116405241236919,0.3280299530813899,,0.3153495194422264,0.0130771843146032,0.3276797306013157,0.0130909954846905,0.3277242168747422,0.0130930054356774,0.3389705816772203,0.022621762753698,0.3225330710068181,0.0174170701899158,0.30391434181943,,0.3150975687479005,0.0136425258792108,0.3111435957567061,0.0129065904871996,0.311161029481791,0.0131499014970351,0.3169812678501625,0.0147711305001059,0.3155580274268906,0.0118058536386931
511,0.3339827066108606,,0.3242746549772023,0.0150704054770583,0.3319384514709206,0.0102968246349829,0.33154620147316,0.010295750776794,0.3314803113808032,0.0106586246490916,0.3267828547527614,0.0106849880758289,0.3416919958625475,,0.3267263938647523,0.0141397596996788,0.3439353169849852,0.0120082958922945,0.3435588951443074,0.0119677726128681,0.3393034365594342,0.0175254175188882,0.3315471357133465,0.0141110174225289,0.3173180703416938,,0.32983726534912,0.0160652497543767,0.3313452205519143,0.010680954074949,0.3336541821732412,0.0101120429595209,0.3288695454073411,0.0112375605729106,0.3313094522719368,0.0108877591613548
